# wavelength flux
3473.99604 4.21054e-18
3475.47427 8.91369e-18
3476.94245 1.41964e-17
3478.41062 1.04345e-17
3479.87880 9.01681e-18
3481.34698 5.88605e-18
3482.82521 1.86189e-18
3484.29338 2.42990e-18
3485.76156 1.03146e-17
3487.22974 1.21860e-17
3488.69791 9.69078e-18
3490.16609 1.24428e-17
3491.64432 6.17034e-18
3493.11250 -3.41451e-18
3494.58067 4.95515e-18
3496.04885 7.45693e-18
3497.51702 3.02935e-18
3498.98520 -1.89590e-18
3500.46343 2.64779e-18
3501.93161 5.20761e-18
3503.39978 8.25185e-18
3504.86796 6.74965e-18
3506.33614 2.97141e-18
3507.81437 4.57601e-18
3509.28254 7.09194e-18
3510.75072 8.94689e-18
3512.21890 1.02594e-17
3513.68707 1.11266e-17
3515.15525 6.58386e-18
3516.63348 6.86535e-18
3518.10166 1.09509e-17
3519.56983 6.21390e-18
3521.03801 9.47610e-18
3522.50618 7.72267e-18
3523.98442 9.12877e-18
3525.45259 1.03179e-17
3526.92077 4.29731e-18
3528.38894 5.83180e-18
3529.85712 8.97693e-18
3531.32530 8.75317e-18
3532.80353 3.05784e-18
3534.27170 3.26523e-18
3535.73988 9.44167e-18
3537.20806 9.10617e-18
3538.67623 1.27814e-17
3540.15446 5.85149e-18
3541.62264 2.27485e-18
3543.09082 3.63415e-18
3544.55899 6.66098e-18
3546.02717 1.16419e-17
3547.49534 7.72030e-18
3548.97358 6.36250e-18
3550.44175 8.32166e-18
3551.90993 1.05948e-17
3553.37810 4.61486e-18
3554.84628 2.98120e-18
3556.32451 6.98326e-18
3557.79269 6.59068e-18
3559.26086 3.73175e-18
3560.72904 4.43713e-18
3562.19722 8.98745e-18
3563.66539 8.08964e-18
3565.14362 7.38280e-18
3566.61180 7.32575e-18
3568.07998 6.08706e-18
3569.54815 7.32331e-18
3571.01633 7.67848e-18
3572.49456 4.49963e-18
3573.96274 5.48259e-18
3575.43091 8.57770e-18
3576.89909 8.33887e-18
3578.36726 1.92330e-18
3579.83544 -9.65375e-19
3581.31367 4.89384e-18
3582.78185 1.10004e-17
3584.25002 1.32157e-17
3585.71820 9.46189e-18
3587.18638 1.59017e-17
3588.66461 1.25100e-17
3590.13278 5.26735e-18
3591.60096 7.88377e-18
3593.06914 1.05607e-17
3594.53731 5.74331e-18
3596.00549 2.43690e-18
3597.48372 4.84693e-19
3598.95190 2.66980e-18
3600.42007 4.92925e-18
3601.88825 6.27835e-18
3603.35642 7.71482e-18
3604.83466 4.71115e-18
3606.30283 3.32955e-18
3607.77101 8.35692e-18
3609.23918 7.08960e-18
3610.70736 6.42193e-18
3612.17554 1.09136e-17
3613.65377 7.44926e-18
3615.12194 4.58238e-18
3616.59012 6.19139e-18
3618.05830 8.02663e-18
3619.52647 6.61558e-18
3621.00470 4.50731e-18
3622.47288 5.79642e-18
3623.94106 7.59010e-18
3625.40923 6.60221e-18
3626.87741 7.62163e-18
3628.34558 6.17322e-18
3629.82382 6.45979e-18
3631.29199 9.34193e-18
3632.76017 9.83816e-18
3634.22834 1.32751e-17
3635.69652 9.45320e-18
3637.17475 4.75818e-18
3638.64293 5.92845e-18
3640.11110 8.41017e-18
3641.57928 7.19805e-18
3643.04746 5.76343e-18
3644.51563 5.76134e-18
3645.99386 7.40330e-18
3647.46204 7.95360e-18
3648.93022 5.55603e-18
3650.39839 6.17950e-18
3651.86657 5.65074e-18
3653.34480 4.86024e-18
3654.81298 7.27155e-18
3656.28115 9.37296e-18
3657.74933 8.01446e-18
3659.21750 8.89896e-18
3660.68568 5.68233e-18
3662.16391 6.10883e-18
3663.63209 1.36052e-17
3665.10026 1.00243e-17
3666.56844 9.32586e-18
3668.03662 7.77034e-18
3669.51485 7.86906e-18
3670.98302 5.88964e-18
3672.45120 6.79565e-18
3673.91938 8.23906e-18
3675.38755 7.01737e-18
3676.85573 9.65741e-18
3678.33396 1.19054e-17
3679.80214 8.38831e-18
3681.27031 6.44990e-18
3682.73849 4.92725e-18
3684.20666 7.89209e-18
3685.68490 1.22917e-17
3687.15307 1.08423e-17
3688.62125 7.80916e-18
3690.08942 3.69910e-18
3691.55760 7.11363e-18
3693.02578 8.62720e-18
3694.50401 5.67715e-18
3695.97218 7.18938e-18
3697.44036 4.90177e-18
3698.90854 6.11340e-18
3700.37671 4.20937e-18
3701.85494 5.66010e-18
3703.32312 6.82271e-18
3704.79130 6.03550e-18
3706.25947 8.08461e-18
3707.72765 6.36830e-18
3709.19582 9.03425e-18
3710.67406 6.00988e-18
3712.14223 4.39836e-19
3713.61041 2.73962e-18
3715.07858 4.77945e-18
3716.54676 5.75277e-18
3718.02499 9.96945e-18
3719.49317 7.42856e-18
3720.96134 4.71789e-18
3722.42952 1.96835e-18
3723.89770 4.95212e-18
3725.36587 5.90902e-18
3726.84410 5.42964e-18
3728.31228 1.03260e-17
3729.78046 1.03400e-17
3731.24863 1.03540e-17
3732.71681 1.01612e-17
3734.19504 9.96835e-18
3735.66322 9.77556e-18
3737.13139 9.58277e-18
3738.59957 9.39000e-18
3740.06774 9.19726e-18
3741.53592 9.00457e-18
3743.01415 8.81188e-18
3744.48233 8.61925e-18
3745.95050 8.42661e-18
3747.41868 8.23402e-18
3748.88686 8.04143e-18
3750.36509 7.84886e-18
3751.83326 7.65632e-18
