# wavelength flux
3491.65808 3.59544e-18
3493.65724 4.76615e-19
3495.64634 -7.32266e-20
3497.64550 1.50551e-20
3499.63461 -1.11485e-19
3501.63376 6.85646e-19
3503.63291 2.62818e-19
3505.62202 2.94927e-18
3507.62118 3.32267e-18
3509.62033 1.91026e-18
3511.60944 2.76525e-18
3513.60859 5.29550e-18
3515.59770 2.56692e-18
3517.59685 3.19041e-18
3519.59601 2.58478e-18
3521.58512 1.88789e-18
3523.58427 5.95061e-18
3525.57338 7.92417e-18
3527.57253 5.47493e-18
3529.57169 2.57763e-18
3531.56079 4.93411e-18
3533.55995 5.07915e-18
3535.54906 5.79512e-18
3537.54821 7.58395e-18
3539.54736 7.19683e-18
3541.53647 4.45795e-18
3543.53563 5.67437e-18
3545.52473 4.42628e-18
3547.52389 3.75642e-18
3549.52304 7.14597e-18
3551.51215 7.88832e-18
3553.51130 6.63335e-18
3555.51046 3.81935e-18
3557.49957 6.63803e-18
3559.49872 6.66694e-18
3561.48783 4.88981e-18
3563.48698 5.88160e-18
3565.48614 4.82505e-18
3567.47524 7.52787e-18
3569.47440 5.54197e-18
3571.46351 6.53748e-18
3573.46266 7.36047e-18
3575.46181 5.51648e-18
3577.45092 7.18005e-18
3579.45008 4.82534e-18
3581.43918 6.05236e-18
3583.43834 7.47591e-18
3585.43749 2.38885e-18
3587.42660 3.33965e-18
3589.42575 5.11539e-18
3591.42491 3.17764e-18
3593.41402 3.44084e-18
3595.41317 6.09673e-18
3597.40228 6.34718e-18
3599.40143 6.42538e-18
3601.40059 5.01879e-18
3603.38969 6.21649e-18
3605.38885 6.11708e-18
3607.37796 6.69581e-18
3609.37711 5.45745e-18
3611.37626 2.59386e-18
3613.36537 3.72703e-18
3615.36453 2.21079e-18
3617.35363 5.05098e-18
3619.35279 6.42923e-18
3621.35194 3.32114e-18
3623.34105 5.18759e-18
3625.34020 5.23972e-18
3627.33936 4.53516e-18
3629.32847 6.15282e-18
3631.32762 6.56701e-18
3633.31673 6.38042e-18
3635.31588 4.38087e-18
3637.31504 2.75206e-18
3639.30414 6.41421e-18
3641.30330 6.01715e-18
3643.29241 5.11185e-18
3645.29156 5.35975e-18
3647.29071 3.91504e-18
3649.27982 2.92909e-18
3651.27898 5.98903e-18
3653.26808 6.34440e-18
3655.26724 6.57183e-18
3657.26639 7.66661e-18
3659.25550 5.72765e-18
3661.25465 5.10999e-18
3663.24376 3.83267e-18
3665.24292 3.87284e-18
3667.24207 4.56674e-18
3669.23118 4.56446e-18
3671.23033 5.86638e-18
3673.22949 3.40355e-18
3675.21859 2.72691e-18
3677.21775 4.31262e-18
3679.20686 4.05762e-18
3681.20601 4.48161e-18
3683.20516 1.42836e-18
3685.19427 5.86772e-19
3687.19343 5.21682e-18
3689.18253 4.99876e-18
3691.18169 4.96984e-18
3693.18084 5.43046e-18
3695.16995 3.98408e-18
3697.16910 4.27039e-18
3699.15821 5.60750e-18
3701.15737 3.76586e-18
3703.15652 3.34984e-18
3705.14563 2.31035e-18
3707.14478 3.94659e-18
3709.14394 4.94490e-18
3711.13304 3.71766e-18
3713.13220 3.62300e-18
3715.12131 4.02014e-18
3717.12046 3.23593e-18
3719.11961 2.84468e-18
3721.10872 2.40973e-18
3723.10788 2.38131e-18
3725.09698 2.50206e-18
3727.09614 2.62279e-18
3729.09529 2.57468e-18
3731.08440 2.52659e-18
3733.08355 2.47850e-18
3735.07266 2.43041e-18
3737.07182 2.38233e-18
3739.07097 2.33425e-18
3741.06008 2.28618e-18
3743.05923 2.23811e-18
3745.04834 2.19005e-18
3747.04749 2.14199e-18
3749.04665 2.09393e-18
3751.03576 2.04588e-18
3753.03491 1.99784e-18
3755.03406 1.94980e-18
3757.02317 1.90176e-18
3759.02233 1.85373e-18
3761.01143 1.80570e-18
3763.01059 1.75768e-18
3765.00974 1.70965e-18
3766.99885 2.34522e-18
3768.99800 3.90329e-18
3770.98711 3.23812e-18
3772.98627 3.82075e-18
3774.98542 4.83576e-18
3776.97453 2.19609e-18
3778.97368 1.94910e-18
3780.96279 2.97659e-18
3782.96194 3.20130e-18
3784.96110 4.54201e-18
3786.95021 5.38815e-18
3788.94936 5.84273e-18
3790.93847 4.66728e-18
3792.93762 3.63715e-18
3794.93678 5.64822e-18
3796.92588 7.35607e-18
3798.92504 6.32351e-18
3800.92419 4.09841e-18
3802.91330 3.62213e-18
3804.91245 6.00935e-18
3806.90156 6.05516e-18
3808.90072 3.63938e-18
3810.89987 4.64685e-18
3812.88898 4.26498e-18
3814.88813 3.68773e-18
3816.87724 3.01286e-18
3818.87639 3.42518e-18
3820.87555 4.58814e-18
3822.86466 5.44094e-18
3824.86381 5.46548e-18
3826.85292 5.25097e-18
3828.85207 5.40252e-18
3830.85123 5.25775e-18
3832.84033 5.94452e-18
3834.83949 5.55706e-18
3836.83864 5.94156e-18
3838.82775 4.10191e-18
3840.82690 6.02496e-18
3842.81601 5.42729e-18
3844.81517 6.31818e-18
3846.81432 5.89143e-18
3848.80343 5.71921e-18
3850.80258 5.56643e-18
3852.79169 6.11269e-18
3854.79084 5.94315e-18
3856.79000 6.46898e-18
3858.77911 5.93377e-18
3860.77826 5.48641e-18
3862.76737 6.12936e-18
3864.76652 5.08276e-18
3866.76568 5.38417e-18
3868.75478 5.41550e-18
3870.75394 7.30047e-18
3872.74305 7.61569e-18
3874.74220 6.62953e-18
3876.74135 6.65710e-18
3878.73046 6.64558e-18
3880.72962 5.90271e-18
3882.72877 5.71907e-18
3884.71788 8.40063e-18
3886.71703 8.01490e-18
3888.70614 6.85558e-18
3890.70529 6.39935e-18
3892.70445 8.24558e-18
3894.69356 8.46481e-18
3896.69271 8.50655e-18
3898.68182 9.14798e-18
3900.68097 8.12338e-18
3902.68013 7.49188e-18
3904.66923 7.57473e-18
3906.66839 8.91849e-18
3908.65750 7.81450e-18
3910.65665 8.31027e-18
3912.65580 6.74346e-18
3914.64491 6.92569e-18
3916.64407 7.71106e-18
3918.64322 8.06704e-18
3920.63233 8.47112e-18
3922.63148 6.92503e-18
3924.62059 7.45706e-18
3926.61974 7.52028e-18
3928.61890 7.28156e-18
3930.60801 7.14569e-18
3932.60716 7.68151e-18
3934.59627 7.35920e-18
3936.59542 7.97566e-18
3938.59458 8.10333e-18
3940.58368 6.97530e-18
3942.58284 7.01951e-18
3944.57195 7.18322e-18
3946.57110 7.42231e-18
3948.57025 7.85294e-18
3950.55936 6.52652e-18
3952.55852 6.82185e-18
3954.55767 6.73788e-18
3956.54678 6.97096e-18
3958.54593 6.82073e-18
3960.53504 7.07587e-18
3962.53419 8.11691e-18
3964.53335 7.80351e-18
3966.52246 7.39883e-18
3968.52161 8.08832e-18
3970.51072 8.90389e-18
3972.50987 8.20360e-18
3974.50903 6.95419e-18
3976.49813 7.13305e-18
3978.49729 7.34448e-18
3980.48640 7.17450e-18
3982.48555 6.51870e-18
3984.48470 6.14608e-18
3986.47381 6.40672e-18
3988.47297 6.85822e-18
3990.46207 7.01899e-18
3992.46123 7.11974e-18
3994.46038 6.48339e-18
3996.44949 6.64199e-18
3998.44864 8.56776e-18
4000.44780 7.40716e-18
4002.43691 7.51536e-18
4004.43606 7.59841e-18
4006.42517 6.00665e-18
4008.42432 6.22460e-18
4010.42348 7.56313e-18
4012.41258 7.08291e-18
4014.41174 7.52831e-18
4016.40085 7.37811e-18
4018.40000 7.84463e-18
4020.39915 7.48291e-18
4022.38826 7.70542e-18
4024.38742 7.71376e-18
4026.37652 5.87809e-18
4028.37568 6.95977e-18
4030.37483 7.79239e-18
4032.36394 6.50294e-18
4034.36309 7.32217e-18
4036.36225 7.26286e-18
4038.35136 7.22694e-18
4040.35051 8.86181e-18
4042.33962 8.23927e-18
4044.33877 8.17039e-18
4046.33793 7.78183e-18
4048.32703 7.39329e-18
4050.32619 7.71834e-18
4052.31530 7.57379e-18
4054.31445 7.24568e-18
4056.31360 8.54649e-18
4058.30271 7.61880e-18
4060.30187 6.58998e-18
4062.29097 6.55108e-18
4064.29013 6.99264e-18
4066.28928 7.45982e-18
4068.27839 7.21822e-18
4070.27754 7.05895e-18
4072.26665 7.23731e-18
4074.26581 7.22213e-18
4076.26496 6.53179e-18
4078.25407 5.77541e-18
4080.25322 6.27109e-18
4082.25238 6.81002e-18
4084.24148 7.06884e-18
4086.24064 7.75135e-18
4088.22975 7.94422e-18
4090.22890 7.58418e-18
4092.22805 7.10613e-18
4094.21716 7.45856e-18
4096.21632 7.91983e-18
4098.20542 7.89288e-18
4100.20458 9.13103e-18
4102.20373 8.18640e-18
4104.19284 7.19559e-18
4106.19199 7.71887e-18
4108.18110 7.90028e-18
4110.18026 7.33010e-18
4112.17941 7.28034e-18
4114.16852 6.88043e-18
4116.16767 6.39083e-18
4118.16683 7.30257e-18
4120.15593 8.13937e-18
4122.15509 7.77342e-18
4124.14420 8.07811e-18
4126.14335 7.87495e-18
4128.14250 7.96057e-18
4130.13161 8.68736e-18
4132.13077 7.36428e-18
4134.11987 6.89244e-18
4136.11903 7.22134e-18
4138.11818 6.99448e-18
4140.10729 8.07342e-18
4142.10644 8.07966e-18
4144.09555 8.14599e-18
4146.09471 8.08941e-18
4148.09386 7.89309e-18
4150.08297 7.29078e-18
4152.08212 7.55375e-18
4154.07123 8.42099e-18
4156.07038 8.53524e-18
4158.06954 7.81370e-18
4160.05865 7.31912e-18
4162.05780 8.13566e-18
4164.05695 8.20779e-18
4166.04606 7.55287e-18
4168.04522 7.65379e-18
4170.03432 7.35687e-18
4172.03348 6.93055e-18
4174.03263 7.48611e-18
4176.02174 7.73622e-18
4178.02089 7.34246e-18
4180.01000 7.38936e-18
4182.00916 6.92862e-18
4184.00831 8.00567e-18
4185.99742 7.76494e-18
4187.99657 7.71089e-18
4189.98568 7.51895e-18
4191.98483 7.11434e-18
4193.98399 7.68579e-18
4195.97310 7.79877e-18
4197.97225 8.27010e-18
4199.96136 8.05306e-18
4201.96051 7.35294e-18
4203.95967 7.39981e-18
4205.94877 7.20582e-18
4207.94793 7.36056e-18
4209.94708 7.43588e-18
4211.93619 7.83451e-18
4213.93534 7.86603e-18
4215.92445 7.32173e-18
4217.92361 6.64852e-18
4219.92276 6.61864e-18
4221.91187 7.07676e-18
4223.91102 6.58463e-18
4225.90013 7.25565e-18
4227.89928 6.82063e-18
4229.89844 7.77169e-18
4231.88755 8.92037e-18
4233.88670 7.39495e-18
4235.87581 6.75175e-18
4237.87496 7.58208e-18
4239.87412 8.35765e-18
4241.86322 8.01180e-18
4243.86238 7.54939e-18
4245.86153 7.31578e-18
4247.85064 7.15151e-18
4249.84979 6.91544e-18
4251.83890 7.35657e-18
4253.83806 7.12844e-18
4255.83721 7.35840e-18
4257.82632 7.34906e-18
4259.82547 7.60431e-18
4261.81458 7.68107e-18
4263.81373 8.06535e-18
4265.81289 8.58372e-18
4267.80200 9.04432e-18
4269.80115 8.63844e-18
