# wavelength flux
3689.79974 3.43005e-17
3694.66041 3.11405e-17
3699.52108 8.65137e-18
3704.38175 1.53787e-17
3709.25244 3.83060e-17
3714.11311 3.99896e-17
3718.97378 3.81833e-17
3723.83445 3.63775e-17
3728.69512 3.45724e-17
3733.56581 3.27678e-17
3738.42648 3.09638e-17
3743.28715 2.91603e-17
3748.14782 2.73574e-17
3753.01852 2.55552e-17
3757.87919 2.37534e-17
3762.73986 1.00296e-17
3767.60053 1.06184e-17
3772.47122 1.79107e-17
3777.33189 1.29229e-17
3782.19256 2.04493e-17
3787.05323 5.45312e-18
3791.91390 1.28283e-17
3796.78459 1.02288e-17
3801.64526 5.77964e-18
3806.50593 1.02255e-17
3811.36660 1.75360e-17
3816.23729 2.13975e-17
3821.09796 8.65091e-18
3825.95863 1.41671e-17
3830.81930 1.91260e-17
3835.67997 1.55206e-17
3840.55066 2.18412e-17
3845.41133 1.97981e-17
3850.27200 1.31366e-17
3855.13267 2.64672e-17
3860.00337 1.75608e-17
3864.86404 1.82007e-17
3869.72471 1.33199e-17
3874.58538 1.62213e-17
3879.44605 2.86408e-17
3884.31674 2.29173e-17
3889.17741 1.42860e-17
3894.03808 2.20915e-17
3898.89875 1.72809e-17
3903.76944 1.34575e-17
3908.63011 1.74136e-17
3913.49078 1.89980e-17
3918.35145 2.12308e-17
3923.21212 2.45151e-17
3928.08281 1.78409e-17
3932.94348 1.60345e-17
3937.80415 9.03511e-18
3942.66482 1.60899e-17
3947.53551 2.07047e-17
3952.39618 2.06829e-17
3957.25685 1.94213e-17
3962.11752 2.58584e-17
3966.97819 2.64136e-17
3971.84889 2.25776e-17
3976.70956 2.40105e-17
3981.57023 2.48991e-17
3986.43090 2.25848e-17
3991.30159 2.00885e-17
3996.16226 1.82991e-17
4001.02293 1.78938e-17
4005.88360 1.66094e-17
4010.75429 1.74321e-17
4015.61496 2.13847e-17
4020.47563 1.63133e-17
4025.33630 1.71064e-17
4030.19697 1.98511e-17
4035.06766 2.04111e-17
4039.92833 2.02254e-17
4044.78900 2.00714e-17
4049.64967 1.90316e-17
4054.51034 2.31868e-17
4059.38103 1.95122e-17
4064.24170 1.59937e-17
4069.10237 1.87038e-17
4073.96304 1.46417e-17
4078.83374 1.45996e-17
4083.69441 1.64959e-17
4088.55508 1.76219e-17
4093.41575 1.90463e-17
4098.28644 1.85326e-17
4103.14711 2.05355e-17
4108.00778 1.57253e-17
4112.86845 1.53145e-17
4117.72912 1.69183e-17
4122.59981 1.62144e-17
4127.46048 1.84373e-17
4132.32115 1.63493e-17
4137.18182 1.51388e-17
4142.05251 1.50354e-17
4146.91318 1.66007e-17
4151.77385 1.67720e-17
4156.63452 1.65726e-17
4161.49519 1.63481e-17
4166.36588 1.49013e-17
4171.22655 1.36077e-17
4176.08722 1.48045e-17
4180.94789 1.56612e-17
4185.81859 1.54255e-17
4190.67926 1.60038e-17
4195.53993 1.66582e-17
4200.40060 1.80383e-17
4205.26127 1.69139e-17
4210.13196 1.51974e-17
4214.99263 1.48679e-17
4219.85330 1.41216e-17
4224.71397 1.50442e-17
4229.58466 1.56241e-17
4234.44533 1.51554e-17
4239.30600 1.48857e-17
4244.16667 1.56140e-17
4249.02734 1.58347e-17
4253.89803 1.67448e-17
4258.75870 1.34102e-17
4263.61937 1.27037e-17
4268.48004 1.47334e-17
4273.35073 1.67841e-17
4278.21140 1.77575e-17
4283.07207 1.48772e-17
4287.93274 1.50048e-17
4292.80344 1.60143e-17
